time,temperature,vibration,pressure,rpm,failure
0,72.48357076505616,0.5778361076166638,26.18438488424522,1404.1221543813226,0
1,69.40867182761075,0.4515468605344974,28.279229978440995,1364.7491310559278,0
2,73.43838936143663,0.4315035706424478,29.17278893315671,1341.641161021242,0
3,77.91496931443734,0.5196292375882704,33.77537531468038,1541.2998912137798,0
4,69.22880659622918,0.50956926227197,31.113106249067517,1478.5932302272138,0
5,69.32848229848824,0.4878564216059555,27.32903686180022,1537.940539760511,0
6,78.49462511398156,0.6093726109046838,30.972072578835274,1569.0472686121514,1
7,74.53488921898574,0.6417748819839107,26.90539202212327,1526.5616993172534,0
8,68.44921910339646,0.5615441668578918,32.16538210777415,1565.7763176150374,0
9,73.60794808505895,0.706857049437794,29.05775069636424,1493.046771375773,0
10,68.676258189913,0.45127002794587995,29.81272762252166,1381.3006611694254,0
11,68.76249934755306,0.5523351882577516,32.65159329508438,1605.7814180820797,0
12,72.39832448996584,0.5062014364014495,27.4256728628315,1441.0887867218873,0
13,61.71900153617178,0.39732601163345516,27.20576362977402,1406.4403701237575,0
14,62.7571890802554,0.58171430752693,28.832801347307992,1482.2082124195601,0
15,68.66616338710183,0.5837103568825123,32.076757702038634,1408.7189080703488,0
16,66.50867720140847,0.7530262845104734,26.961307849046314,1458.2569618010568,0
17,73.23867212368044,0.67044571233427,24.33568880377886,1534.4053921563466,0
18,67.2212507887694,0.5105098122460866,29.097682283182003,1534.8341739246127,0
19,64.79308384038846,0.8037762376251695,31.10348159982184,1410.216993357437,1
20,79.27533555615102,0.7457773301664827,32.40052349947766,1451.2294627051256,1
21,70.90992076286517,0.6870533077943998,29.0736772758292,1607.4333004770244,0
22,72.46733834876962,0.61122155816511,29.177146785767995,1549.640011773394,0
23,65.09599960376032,0.5428037443434761,32.30780146851149,1707.5065039348542,0
24,69.5869822550815,0.6062505405727993,26.260516600609158,1618.0128173741527,0
25,72.95174064157035,0.7569102326096261,29.222958449633982,1614.429306855994,0
26,66.72943280210717,0.8408936851762289,30.380847779850114,1361.21314495442,1
27,74.44917004999394,0.8109897347527156,30.898437442570067,1576.3860351633423,1
28,69.65273754001039,0.6118367105602548,28.980386613618236,1494.689319830309,0
29,71.28165093499298,0.5526376171437495,30.068882023411682,1444.901819646175,0
30,69.81467930582818,0.6823828216526997,25.02334529317402,1516.801534053253,0
31,82.16656672523122,0.49495812065561995,28.683503175332305,1594.5211534611483,1
32,72.91849108312229,0.7074358153804832,30.907017425108936,1550.0831591004212,0
33,67.77702961508766,0.6634812133824203,28.035411931490643,1412.152619865794,0
34,77.25668968060829,0.634562222132652,30.117968443179194,1574.245891359262,0
35,67.11687018633334,0.5244186891240714,30.893745001605396,1436.2412457924036,0
36,74.34124133488113,0.7377678278504168,29.31490159828447,1521.6683118964286,0
37,63.57308893874185,0.6354494539501154,30.340927541993143,1469.6649932522866,0
38,66.8036769810606,0.5738299061075478,28.074534869430774,1478.1133748264374,0
39,74.50070327534768,0.40548541575527364,29.586777440607907,1576.624297504051,0
40,77.27911335447466,0.6916360897675989,31.220432339178444,1395.9806280184102,0
41,74.51257055458433,0.8730727169265395,30.313945921936867,1694.5195074276933,1
42,73.14497418791309,0.863215867452479,28.82693746087213,1317.8913930705503,1
43,72.28369433652995,0.652403740524298,30.448432808581586,1440.2332316745144,0
44,66.46108444265771,0.6386954747508332,31.429219581273237,1537.021188994174,0
45,70.31741350616387,0.7463764229283133,25.900117442845044,1558.431416643531,0
46,71.67481424538289,0.6000211249070306,32.3181481299118,1489.9524279428294,0
47,79.32340163312016,0.7301774845750928,29.327490522637856,1494.2609296998457,1
48,75.81404928934731,0.7765227484467702,30.85097986648046,1541.0550085327616,0
49,65.33728607564619,0.8223023621111405,32.394493847290455,1476.8930522542319,1
50,75.82777477101345,0.6890661839023577,27.256652605539067,1639.3181257934907,0
51,72.33512870766523,0.6779655870727972,28.581117995144908,1583.9349114231602,0
52,70.92741113468689,0.60956572440097,29.42290260824859,1587.2824351005634,0
53,77.42015885592927,0.6134876956484274,28.432492957751144,1403.3843276629582,0
54,79.5647866469045,0.6721216369854863,33.46987315167362,1492.0611575594296,1
55,79.11243739588816,0.7298834814331179,28.286455812346414,1469.9534051279297,1
56,70.30441459476934,0.7826682101201983,28.88890644102627,1399.4398624310534,0
57,72.99710560132334,0.6089421224694485,30.408778063205954,1536.0164183945767,0
58,76.24033270087666,0.8362688750361438,27.595700947847824,1446.2354242220183,1
59,79.5007556976519,0.6574199000786822,29.208638576487473,1565.5403829850236,1
60,72.26432424060968,0.6797227559302927,30.63490652250035,1392.980843710567,0
61,73.76720189827626,0.6042634952468318,29.334279191234977,1671.904061284182,0
62,69.19724512721756,0.4334869614962182,29.8132262822001,1410.3667341407938,0
63,68.77941858754923,0.7610464129658797,28.94133577510326,1521.9302337200436,0
64,78.85270841341712,0.7428653423024325,26.971059381638465,1579.1859310388068,1
65,81.59899106994008,0.6373993147133707,30.643186422678475,1442.9359569799888,1
66,74.48352489268966,0.6683983524864052,33.50986614329448,1585.246864343295,0
67,79.88508719793671,0.7092807636406508,30.036803261566877,1377.0816402199584,1
68,76.69750313741474,0.49724462590815666,30.4505282344951,1645.211769918256,0
69,71.68366887883617,0.5962357747007145,31.38544551023372,1501.4149264965758,0
70,76.73422667748437,0.7240436443098477,27.461339006906602,1440.358859203112,0
71,82.63344164658844,0.5145036970693228,33.40502931625921,1470.0818227572565,1
72,74.77816154540866,0.6644484293268931,30.404657592845606,1580.891926939272,0
73,82.79256009612826,0.49444436334076547,33.263713798178216,1441.5544708149562,1
74,61.88067870223948,0.6716109047418705,28.53393400895202,1425.0642310577223,0
75,79.09698745489638,0.6161302805910429,33.63612384511565,1477.8463402416262,1
76,75.42878606106878,0.4527747880564985,31.550310988069565,1382.3037887230032,0
77,73.50259240069805,0.7252284710436696,31.10608017170472,1682.0543907941815,0
78,75.45851248382735,0.5296411166844879,30.468048908706297,1443.3605408785277,0
79,65.06194365948924,0.5163062241754216,29.502942763851102,1583.1616786180402,0
80,73.89950857601997,0.6115114450502567,32.40106331694774,1520.9470083647773,0
